raw name,cleaned name,first_appearance,last_appearance,count,title
Isabelle Pilote,Isabelle Pilote,2024-06-20,2024-06-20,1,Section Head
Isabelle Pouliot-cotnoir,Isabelle Pouliot-cotnoir,2023-11-18,2023-11-18,1,Senior Manager
Isabelle Poupart,Isabelle Poupart,2023-02-20,2024-08-07,2,"Director General, European Affairs"
Isabelle Prolux,Isabelle Prolux,2024-12-12,2024-12-12,1,"Manager, External Relations"
Isabelle Proulx,Isabelle Paroulx,2024-08-09,2024-08-09,1,"Manager, External Relations"
Isabelle Quintal,Isabelle Quintal,2012-06-29,2018-12-05,2,Chief of Staff and Senior Advisor
Isabelle Ranger,Isabelle Ranger,2019-04-29,2021-02-01,14,Director
Isabelle Remillard,Isabelle Remillard,2023-12-04,2023-12-18,2,Senior Policy Analyst
Isabelle Ringuet,Isabelle Ringuet,2022-01-07,2022-06-03,2,Director
Isabelle Roy,Isabelle Roy,2019-03-20,2019-03-20,1,Senior Information and Communication Technology Specialist
Isabelle Sabourin,Isabelle Sabourin,2013-03-21,2025-01-13,13,Legislative Assistant
Isabelle Schryer,Isabelle Schryer,2021-11-26,2022-02-17,6,Executive Assistant
Isabelle Skalski,Isabelle Skalski,2022-06-16,2022-06-16,1,Senior Policy Analyst
Isabelle Slight,Isabelle Slight,2023-05-04,2023-05-04,1,Senior Policy Analyst
Isabelle T. Landry,Isabelle T. Landry,2023-10-20,2025-02-17,6,Senior Program Officer
Isabelle Tardif,Isabelle Tardif,2024-05-29,2024-05-29,2,Senior Regulatory Analyst
Isabelle Touchette,Isabelle Touchette,2024-10-09,2024-10-09,1,"Director, Health and Rights of Women, Adolescents and Children"
Isabelle Tranpanier,Isabelle Tranpanier,2009-08-19,2009-08-19,1,"Director, National Air Services"
Isabelle Tremblay,Isabelle Tremblay,2023-02-23,2023-02-23,1,"Director, Astronauts, Life Science and Space Medicine"
Isabelle Turcotte,Isabelle Turcotte,2022-03-04,2025-05-29,45,Senior Project Manager
Isabelle Valois,Isabelle Valois,2017-05-30,2024-02-13,9,Ambassador to Uruguay
Isabelle Verbisky,Isabelle Verbisky,2024-06-06,2024-06-06,1,Manager
Isabelle Wallace,Isabelle Wallace,2024-05-24,2024-05-24,1,Policy Analyst
Iseult Heureux Hubert,Iseult Lheureux-hubert,2023-05-15,2023-05-15,1,Staffer
Iseult L'heaureux-hubert,Iseult Lheureux-hubert,2019-05-02,2019-05-02,1,Staffer
Iseult L'heureux Hubert,Iseult Lheureux Hubert,2024-04-29,2024-04-29,1,Staffer to Member of Parliament
Iseult L'heureux-hebert,Iseult Lheureux-hubert,2024-04-29,2024-04-29,1,Staffer
Iseult L'heureux-hubert,Iseult Lheureux-hubert,2018-09-27,2025-01-29,37,Staffer
Iseult Lheureux-hubert,Iseult Lheureux-hubert,2019-05-28,2022-12-20,3,Staffer
Ishwara Prematunga,Ishwara Prematunga,2023-07-18,2023-07-18,1,Parliamentary Assistant
Isis Bozzano-bae,Isis Bozzano-bae,2024-02-06,2024-12-02,11,Senior Policy Advisor
Ismael Karidio,Ismael Karidio,2021-09-16,2021-09-16,1,Investment Analyst
