raw name,cleaned name,first_appearance,last_appearance,count,title
Helen Levesque,Helen Levesque,2010-03-18,2010-03-18,1,Migratory Birds Regulations Specialist
Helen Macdonald,Helen Macdonald,2009-02-12,2012-02-28,9,Assistant Deputy Minister
Helen Mcdonald,Helen Mcdonald,2008-09-29,2012-11-14,129,Assistant Deputy Minister
Helen Mcdonlad,Helen Mcdonald,2011-01-18,2011-01-18,1,Assistant Deputy Minister
Helen Mcelroy,Helen Mcelroy,2009-06-16,2018-10-11,15,Director General
Helen Nowers,Helen Nowers,2019-06-11,2019-06-11,1,Special Advisor
Helen Picard,Helene Picard,2022-09-26,2022-09-26,1,Director General
Helen Rayn,Helen Ryan,2021-06-01,2021-06-01,1,Associate Assistant Deputy Minister
Helen Ryan,Helen Ryan,2009-09-09,2023-08-09,174,Associate Assistant Deputy Minister
Helen Smiley,Helen Smiley,2010-05-28,2024-12-10,5,Director General
Helen Wong,Helen Wong,2015-11-17,2017-03-07,20,Senior Supervisor
Helena Borges,Helena Borges,2008-07-02,2017-12-04,163,Associate Deputy Minister
Helena Borgis,Helena Borgis,2010-10-05,2010-10-05,1,Acting Associate Deputy Minister
Helena Botelho,Helena Botelho,2020-06-04,2024-12-18,11,Manager
Helena Botelho Botelho,Helena Botelho Botelho,2023-06-01,2023-06-01,1,Executive Assistant
Helena Geurgis,Helena Geurgis,2011-02-10,2011-02-10,1,Member of Parliament
Helena Guergis,Helena Guergis,2008-07-28,2010-02-28,9,Minister of State
